"",genderLabel,article
Kate Crawford,weiblich,https://de.wikipedia.org/wiki/Kate_Crawford
Kate Orff,weiblich,https://de.wikipedia.org/wiki/Kate_Orff
Kasbek Chasbijewitsch Pagijew,männlich,https://de.wikipedia.org/wiki/Kasbek_Chasbijewitsch_Pagijew
Cato T. Laurencin,männlich,https://de.wikipedia.org/wiki/Cato_T._Laurencin
Christopher Field,männlich,https://de.wikipedia.org/wiki/Christopher_Field
Costas N. Papanicolas,männlich,https://de.wikipedia.org/wiki/Costas_N._Papanicolas
Calestous Juma,männlich,https://de.wikipedia.org/wiki/Calestous_Juma
Charles Spence,männlich,https://de.wikipedia.org/wiki/Charles_Spence
Ken Mogi,männlich,https://de.wikipedia.org/wiki/Ken_Mogi
George M. Church,männlich,https://de.wikipedia.org/wiki/George_M._Church_(Molekularbiologe)
Lluís Quintana-Murci,männlich,https://de.wikipedia.org/wiki/Lluis_Quintana-Murci
Jean Claude Ameisen,männlich,https://de.wikipedia.org/wiki/Jean_Claude_Ameisen
Frederik Paulsen,männlich,https://de.wikipedia.org/wiki/Frederik_Paulsen_(Chemiker)
Olga Anatoljewna Uskowa,weiblich,https://de.wikipedia.org/wiki/Olga_Anatoljewna_Uskowa
Firdaus Chissamitdinowa,weiblich,https://de.wikipedia.org/wiki/Firdaus_Gilmitdinowna_Chissamitdinowa
David Vanderbilt,männlich,https://de.wikipedia.org/wiki/David_Vanderbilt
Dirk Brockmann,männlich,https://de.wikipedia.org/wiki/Dirk_Brockmann
Mark Z. Jacobson,männlich,https://de.wikipedia.org/wiki/Mark_Z._Jacobson
Tessy Thomas,weiblich,https://de.wikipedia.org/wiki/Tessy_Thomas
Valérie Masson-Delmotte,weiblich,https://de.wikipedia.org/wiki/Val%C3%A9rie_Masson-Delmotte
Vincent Croquette,männlich,https://de.wikipedia.org/wiki/Vincent_Croquette
Alexander Pawlow,männlich,https://de.wikipedia.org/wiki/Alexander_Pawlow_(Politiker)
Martin Simonson,männlich,https://de.wikipedia.org/wiki/Martin_Simonson
Fernanda Viégas,weiblich,https://de.wikipedia.org/wiki/Fernanda_Vi%C3%A9gas
Jarkko Tontti,männlich,https://de.wikipedia.org/wiki/Jarkko_Tontti
Frank Vollertsen,männlich,https://de.wikipedia.org/wiki/Frank_Vollertsen
Gabriel Leung,männlich,https://de.wikipedia.org/wiki/Gabriel_Leung
Stefan Brink,männlich,https://de.wikipedia.org/wiki/Stefan_Brink_(Philologe)
William Eskridge,männlich,https://de.wikipedia.org/wiki/William_N._Eskridge
Yair Galily,männlich,https://de.wikipedia.org/wiki/Yair_Galily
Youxin Yang,weiblich,https://de.wikipedia.org/wiki/Youxin_Yang
Bao Weimin,männlich,https://de.wikipedia.org/wiki/Bao_Weimin
Michihiro Kandori,männlich,https://de.wikipedia.org/wiki/Michihiro_Kandori
Michael Werikhe,männlich,https://de.wikipedia.org/wiki/Michael_Werikhe
Miriam Butt,weiblich,https://de.wikipedia.org/wiki/Miriam_Butt
Nets Katz,männlich,https://de.wikipedia.org/wiki/Nets_Katz
Nandini Nimbkar,weiblich,https://de.wikipedia.org/wiki/Nandini_Nimbkar
Kostjantyn Sihow,männlich,https://de.wikipedia.org/wiki/Kostjantyn_Sihow
Olga Speranskaya,weiblich,https://de.wikipedia.org/wiki/Olga_Alexandrowna_Speranskaja
Raymond Laflamme,männlich,https://de.wikipedia.org/wiki/Raymond_Laflamme
Mead Treadwell,männlich,https://de.wikipedia.org/wiki/Mead_Treadwell
Howard A. Stone,männlich,https://de.wikipedia.org/wiki/Howard_A._Stone
Rosina M. Bierbaum,weiblich,https://de.wikipedia.org/wiki/Rosina_M._Bierbaum
Sauro Succi,männlich,https://de.wikipedia.org/wiki/Sauro_Succi
Shiva Ayyadurai,männlich,https://de.wikipedia.org/wiki/Shiva_Ayyadurai
Humud bin Abbas al-Muʾayyad,männlich,https://de.wikipedia.org/wiki/Humud_bin_Abbas_al-Mu%CA%BEayyad
Waleri Nikolajewitsch Falkow,männlich,https://de.wikipedia.org/wiki/Waleri_Nikolajewitsch_Falkow
Nikolaj Petrow,männlich,https://de.wikipedia.org/wiki/Nikolaj_Petrow_(Politiker)
Cristina Mittermeier,weiblich,https://de.wikipedia.org/wiki/Cristina_Mittermeier
Stephanie Wehner,weiblich,https://de.wikipedia.org/wiki/Stephanie_Wehner
Stephen W. Scherer,männlich,https://de.wikipedia.org/wiki/Stephen_W._Scherer
Subir Sachdev,männlich,https://de.wikipedia.org/wiki/Subir_Sachdev
Ingeborg Hochmair-Desoyer,weiblich,https://de.wikipedia.org/wiki/Ingeborg_Hochmair-Desoyer
Thomas F. Stocker,männlich,https://de.wikipedia.org/wiki/Thomas_Stocker
Tim Samaras,männlich,https://de.wikipedia.org/wiki/Tim_Samaras
Harriet A. Washington,weiblich,https://de.wikipedia.org/wiki/Harriet_Washington
Thomas Gregor,männlich,https://de.wikipedia.org/wiki/Thomas_Gregor
David Kirk,männlich,https://de.wikipedia.org/wiki/David_B._Kirk
Victor Moll,männlich,https://de.wikipedia.org/wiki/Victor_Moll
Wilfried Elmenreich,männlich,https://de.wikipedia.org/wiki/Wilfried_Elmenreich
Sandra Myrna Díaz,weiblich,https://de.wikipedia.org/wiki/Sandra_Myrna_D%C3%ADaz
Nadeschda Andrejewna Tschertowa,weiblich,https://de.wikipedia.org/wiki/Nadeschda_Andrejewna_Tschertowa
Marylène Patou-Mathis,weiblich,https://de.wikipedia.org/wiki/Maryl%C3%A8ne_Patou-Mathis
Thomas Henle,männlich,https://de.wikipedia.org/wiki/Thomas_Henle
Christoph Gengnagel,männlich,https://de.wikipedia.org/wiki/Christoph_Gengnagel
Carlos Barbas,männlich,https://de.wikipedia.org/wiki/Carlos_Barbas
Hisham Nashabeh,männlich,https://de.wikipedia.org/wiki/Hisham_Nashabeh
Claudia Banz,weiblich,https://de.wikipedia.org/wiki/Claudia_Banz
